loan_application_id,request_id,registration_id,customer_id,los_application_no,application_status_code,product_code,requested_amount,requested_term,loan_purpose,submitted_at,created_at,updated_at
aa8561c1-7d2e-59aa-9fb2-41c409f8a198,REQ20260116000003,9bab4671-0a13-5af9-9d65-f50d85e90881,72552407-44ef-5535-a35b-5800112c59c8,LOS20260116000003,RECEIVED,CASH_LOAN,40000000.00,36,BUSINESS,2026-01-16 09:07:00,2026-01-16 09:07:02,2026-01-16 09:08:00
6840655d-9527-59ef-8180-b1dba8c13b2c,REQ20260121000004,70c77b33-c076-5726-9071-edb9150d9ab7,8802faf9-c9e6-5189-8089-a5d80f1e2b17,LOS20260121000004,VALIDATING,CASH_LOAN,50000000.00,12,PERSONAL,2026-01-21 09:08:00,2026-01-21 09:08:02,2026-01-21 09:10:00
14465b64-87c3-5442-a9d2-bee0503c7e46,REQ20260126000005,231fd255-a7d4-5722-8975-475b857bf18c,4764a209-dd42-5276-a545-7f7ee85bf15d,LOS20260126000005,REJECTED,CASH_LOAN,60000000.00,24,EDUCATION,2026-01-26 09:09:00,2026-01-26 09:09:02,2026-01-26 09:13:00
6a50d2bc-d636-55b1-a1bb-5efb73a3e0f8,REQ20260131000006,ac313438-20bb-50c0-9c73-0f9012a1bd96,43ed4ac5-c8ad-51d9-804c-d642abe91780,LOS20260131000006,REJECTED,CASH_LOAN,70000000.00,36,BUSINESS,2026-01-31 09:10:00,2026-01-31 09:10:02,2026-01-31 09:15:00
a403d27c-fea1-5830-91f2-38c6523c87cb,REQ20260205000007,de6ba69e-3957-555f-b684-c4ae1caa8f14,38851007-9df3-504d-9d3d-333d7a85fe32,LOS20260205000007,MANUAL_REVIEW,CASH_LOAN,20000000.00,12,PERSONAL,2026-02-05 09:11:00,2026-02-05 09:11:02,2026-02-05 09:16:00
50bbdc4a-0c98-5619-b517-528ec627ac61,REQ20260210000008,5576ff8a-abc3-5e15-8d16-ac97df6da465,7b6bc663-180a-5757-93e7-edadc6772b1c,LOS20260210000008,APPROVED,CASH_LOAN,30000000.00,24,EDUCATION,2026-02-10 09:12:00,2026-02-10 09:12:02,2026-02-10 09:17:00
ae4fac37-93a2-5ba8-b850-5ada19f858e3,REQ20260215000009,271dbafc-8393-54d8-8ec1-8f0f8601a650,a145912d-b7d4-509d-b3f3-1b6ab98b7796,LOS20260215000009,DISBURSEMENT_REQUESTED,CASH_LOAN,40000000.00,36,BUSINESS,2026-02-15 09:13:00,2026-02-15 09:13:02,2026-02-15 09:19:00
483af3a1-afca-5552-9372-3a03a7413d79,REQ20260220000010,6e7ac608-6ceb-59e1-b80d-2254d3652a2a,865195c6-e965-535b-bfe8-6b960dfb34ba,LOS20260220000010,DISBURSEMENT_REQUESTED,CASH_LOAN,50000000.00,12,PERSONAL,2026-02-20 09:14:00,2026-02-20 09:14:02,2026-02-20 09:20:00
b9473789-25ec-5211-bc02-d9ca8cf51997,REQ20260411000011,2af6d43c-b483-5ec1-8c64-d601f161fa96,b600993a-b148-5a0d-bdf9-d3c181d63537,LOS20260411000011,DISBURSEMENT_REQUESTED,CASH_LOAN,60000000.00,36,EDUCATION,2026-04-11 09:15:00,2026-04-11 09:15:02,2026-04-11 09:21:00
254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,REQ20260412000012,03bebf35-a57a-5861-94dc-6c5b7440279c,a77840dc-511a-5267-984d-20af365843de,LOS20260412000012,DISBURSEMENT_REQUESTED,CASH_LOAN,70000000.00,36,BUSINESS,2026-04-12 09:16:00,2026-04-12 09:16:02,2026-04-12 09:22:00
